,File,Phrase
0,noisy_data/179.png,
1,noisy_data/74.png,
2,noisy_data/168.png,
3,noisy_data/14.png,
4,noisy_data/71.png,"st soveral rothods to design forcs with 14
cagtance, fields aay be surrounded by bounding bores, 1
guiding rulers. These tethods specify here v0 write
the offect of ores and overlapping with other parts of
can be-_Jocated on a separate sheet of paper that is lo
they con bo printed directly on the fara- The use of |
jis ruch bottor froa the point of viov of the quality 0
requires giving pore instructions and, nore important]:
tasks uhere this typo of acquisition is used. Guiding
are nore comonly used for this resson., Light rctang
‘ith filtere than dark Lines whenever the handy

There exi:

easily"
5,noisy_data/129.png,
6,noisy_data/144.png,"c spatia’

arg several classi
hn frequency noist

dian filter and
The me

Ther
or eliminating hig!
mean filters the me

frequently used.
oothing filter that re
ighborhood mean.
tHe image ed¢
of the

filter are
lowpass or sm
values with the ne
image noise but blurs
filter calculates the median
for each pixel, thereby reducing tt
Finally, the opening closing filter
morphological filter that combines"
7,noisy_data/185.png,
8,noisy_data/206.png,"There exist severa}imethode to deaign forn
filled in. For instance, fields may be curre
by light rectangles or by guiding rulere. Tt
where to write and, therefere, minimize the «
with other parts of the form. These guides «
separate oheet of paper that is located belov
be printad directly on the form. The usc of’
sheet is much better from the point of viow «
scanned image, but requires giving more instz
veetricts its use to taske where this type of
Gaiding rulers printed on the form are more «
reason. Light rectangles can be removed more
than dark lines whenever‘the handvritten text
Wevertheleas, other practical iggias must be
The beot vay to print these Light rectangles"
9,noisy_data/137.png,
10,noisy_data/26.png,"There exist several methods to design forms with fields to
fields may be surrounddl by bounding boves, by light rectangles «
methods specify where to write and, therefore, minimize the effer
with other parts of the form. Theée guides can be located on 2 s
ie located below the for or they cav be printed alrectly onthe fa
separate sheet is much better from the point of view of the quality
requires giving move instructions and, more important restricts
type of acquston i used. Guiding rules printed onthe form ae n
reason. Light vectangles can be removed more easily with filters th
handwritten text toaches the rulers. ‘Nevertiveless, other practical

‘account! The best way to print these light rectangles is in a differ"
11,noisy_data/105.png,
12,noisy_data/42.png,
13,noisy_data/69.png,
14,noisy_data/198.png,
15,noisy_data/44.png,"There exist several methods to design forms with fields to
Teds may be surrounded by bounding boves, by ight rectangles «
methods specify where to write and, therefore, minimize the effec
with other parts of the form. These guides can be located on a.se
is located below the form or they can be printed directly on the for
Separate sheet is much better from the point of view of the quality
Fequires giving more instructions and, more importantly, restricts
“type of acquisition is used, Guiding rulers printed on the form are mr

reason. Light rectangles can be removed more easly with filters tt
handwritten text touches the rulers, Nevertheless, other practical

account: The best way to print these light rectangles is in a differ"
16,noisy_data/95.png,"There exist several methods to design:
to be filled in. For instance, fields may t
bounding boxes, by light rectangles. or b
Thesé methods specify where to write and
mize the effect.of skew and overlapping w:
the form. These guides caurbe located on a
Paper that is located below the form or tb!
directly on the form. The use of guides ot!
is much better from the point of view of t
scanned image, but,requires giving more
more importantly, restricts its nse to task °"
17,noisy_data/39.png,
18,noisy_data/167.png,"‘There exist several methods to design forms with fi
Instance, fields may bo surrounded by bounding boxt
or by guiding rulers. ‘These methods specify where tc
minimize tbe Ellectol sew and overlapping with ot!
‘These gitides can be leestod-on-a sopatate sheet of
below the form or they can be-printed directly on ¢
guides on a separate sheot Is much better from the
Quality of the scanned image, but requires giving n
more importantly, restricts its nse to-Laska whore th
is used. Guiding rulers printed on the form are inot
this reason. Light rectangles can be removed more ¢
dark lines whenever the handwritten text touches the
other practical issues mnat-be taken into account: ‘1
these light rectangles 18 in a different color (i.c. <li
this approach is more expensive than printing grey 1"
19,noisy_data/120.png,"Thére are several classic spatial filters for
inating high frequency noise from images. ...,
the mediam-filter_and the closing opening-fi ,
used” The mean filter is-a_lowpass or smc -
replaces the pixel values with the neighbort-
duces the image noise but blurs the image e_
filter calculates the median of the pixel neig'
pixel, thereby reducing the blurring effect. Fi
closing filter is a mathematical morphologic =
bines the same number of erosion and dilat
pcpelations|y in ed to eliminate smal] objec!"
20,noisy_data/59.png,"ietds nag. be gurrounded
hese methods specify to. write
af she ond Mrertagping vite othe ports of
ted on 0 separate rect of poper that * lo
ed divecty o THE fora. ™me we of
ter fron the powte of view of te quality &
ore instruct t0ns yea, nore exponent!
ig used. viding

   

vin
this type oF oquisttion 18 *
Lagnd rectond

‘ers than dark Lines whenever the handy"
21,noisy_data/72.png,"a} classic spatial 1116

There are sear

sroquency noise £100 380808 he aoan filter) the ood

opening filter are éroquenty useds Te 280 iiiter 4
‘th the neighbo:

pirel values #3!

ut blurs the Amoge dg25- The nedion

the pixel neighborhood tor each pizel, thereby rod

citer is a socbecotical |

oabinos the sare nATbAE of erosion:and dilation orp!
fo elizinate sual objects fron images.

as to vrein a neural net¥ors ina st

‘The pain goal #
a ebean dage £08 6 00387 HPs Tn this particular ce"
22,noisy_data/152.png,"There exist several methods to design forms with,
For instance, fields may be ourrounded by bounding bo:
or by guiding rulers. These methods specify where Le

maininbize the effect of skew and overlapping with ou
These guides con be located on

 

separate sheet of pape
the form or they can be printed directly on the form
\a separate sheet is mucl

 

better from the point of vier
scanned image, but requires giving more instructions «

restricts its use to laska where this type of acquisit
rulers printed on the form are more commonly used
‘rectangles can be removed more ensily wilh filters tha
the handwritten lext touches the rulers: Nevertheless.
must be taken into account: The best way to print.
is in a different color (i.e. light yellow): however, +
expensive than printing aray rectangles will black-are"
23,noisy_data/123.png,"There are several classic spatic
or eliminating high frequency noig
The mean filter, the median filter
opening’ filter are frequently used
ts 4 lowpass or smoothing filter ¢
pivel values with the neighborhood
{the image noise but blurs sthe imag
filter calculates the median of th
for each pizel, thereby reducing t
Finally, the opening closing filte

» morphological filter that combines"
