,Class,Email Raw Text
0,ham,I know that my friend already told that.
1,ham,It took Mr owl 3 licks
2,ham,Dunno y u ask me.
3,ham,K.k:)advance happy pongal.
4,ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
5,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
6,ham,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
7,ham,Do well :)all will for little time. Thing of good times ahead:
8,ham,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try"
9,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
10,ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?
11,ham,Not getting anywhere with this damn job hunting over here!
12,ham,Good. Good job. I like entrepreneurs
13,spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
14,ham,Hi da:)how is the todays class?
15,spam,No calls..messages..missed calls
16,ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
17,ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
18,ham,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
19,ham,Hmm .. Bits and pieces lol ... *sighs* ...
20,ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
21,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
22,spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
23,ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
24,ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
25,ham,Dont gimme that lip caveboy
26,ham,"Sorry, I'll call later in meeting."
27,ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
28,ham,If you're not in my car in an hour and a half I'm going apeshit
29,ham,That means get the door
30,ham,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.
31,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
32,ham,A swt thought: Nver get tired of doing little things 4 lovable persons.. Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8
33,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
34,ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
35,ham,Dunno he jus say go lido. Same time 930.
36,ham,Check with nuerologist.
37,ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
38,ham,Dont think so. It turns off like randomlly within 5min of opening
39,ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
40,ham,WOT U WANNA DO THEN MISSY?
41,ham,Tell rob to mack his gf in the theater
42,ham,Thanks love. But am i doing torch or bold.
43,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
44,ham,What class of  &lt;#&gt;  reunion?
45,ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
