0_cx_img	1_cy_img	2_area_img	3_perim_img	4_hulls_img	5_cx_g1	6_cy_g1	7_area_g1	8_perim_g1	9_hulls_g1	10_cx_g2	11_cy_g2	12_area_g2	13_perim_g2	14_hulls_g2	15_cx_g3	16_cy_g3	17_area_g3	18_perim_g3	19_hulls_g3	20_cx_g4	21_cy_g4	22_area_g4	23_perim_g4	24_hulls_g4	25_class
872.125	296.75	17212.5	512.2273	16	658.4712	240.3654	3633.0625	275.6337	104	813.7375	361.3375	1016.4854	125.4386	240	901.1429	327.1857	764.5	143.8666	70	955.4902	331.1569	513.8333	106.451	51	D
771.125	423.9375	28754.9688	571.8826	16	657.5354	347.7008	3563.3858	251.2279	127	694.0681	472.783	1594.334	141.5676	235	750.2063	443.8413	928.0079	173.0614	63	797.2549	475.3137	475.0	110.3377	51	D
1063.625	334.375	59826.3125	648.24	16	1070.583	428.0364	1981.6154	176.8246	247	1035.1439	422.7992	2089.6723	151.4633	264	1233.9457	460.413	676.1033	138.6055	92	1168.5091	434.6909	391.2636	98.2202	55	D
1155.9231	346.2692	31531.5192	525.2106	26	1028.3676	462.7946	3089.3784	221.2016	185	1013.7324	398.7826	1775.587	137.1889	299	1226.8028	391.6056	1403.5282	188.9319	71	1171.129	390.7419	454.4677	107.89	62	D
553.2	383.7333	26825.9667	496.1305	15	513.3525	330.0656	3843.2869	224.8776	122	516.5631	460.3018	1533.8761	144.7372	222	519.7808	439.4932	988.4521	171.8063	73	553.1373	451.0196	477.8431	109.0936	51	D
774.55	513.55	75758.85	663.8917	20	895.1686	670.2616	6488.282	276.4614	172	920.7307	565.8827	2351.824	131.3722	375	1132.7821	437.6282	2528.8654	227.1812	78	1084.5714	477.0893	669.2679	128.9603	56	D
1071.4118	284.2941	16906.6471	542.8231	17	817.3361	234.8824	3466.1134	279.5105	119	979.1809	350.6525	892.8528	117.6388	282	1133.7463	348.1045	654.2985	141.2053	67	1129.5536	339.75	417.1339	103.3037	56	D
1210.7143	398.8571	58342.7857	862.0279	14	1134.68	468.5422	2190.9689	176.7867	225	1028.9102	461.2461	2833.6152	169.7767	256	1197.6338	448.8451	802.993	146.0382	71	1198.2154	484.6769	431.7231	101.8157	65	D
607.4545	348.4545	69408.0909	766.9448	11	779.7717	548.7534	1899.742	157.196	219	615.8521	402.2249	3554.7189	198.9647	169	788.8493	441.0822	699.3836	143.3104	73	799.1831	429.1408	536.7465	113.8488	71	D
1099.7222	470.6111	27843.8333	631.5064	18	876.8687	448.325	3407.7125	236.4406	160	980.9217	527.6904	1412.6477	133.4004	281	1148.0556	499.6667	943.0764	166.2868	72	1105.1132	511.2642	480.5	109.1411	53	D
